"","gutenberg_id","text"
"399",16,"Of course it was a Friday."
"400",16,""
"401",16,"""I ought to have been specially careful on a Friday,"" she used to say"
"402",16,"afterwards to her husband, while perhaps Nana was on the other side of"
"403",16,"her, holding her hand."
"404",16,""
"405",16,"""No, no,"" Mr. Darling always said, ""I am responsible for it all. I,"
"406",16,"George Darling, did it. MEA CULPA, MEA CULPA."" He had had a classical"
"407",16,"education."
"408",16,""
"409",16,"They sat thus night after night recalling that fatal Friday, till every"
"410",16,"detail of it was stamped on their brains and came through on the other"
"411",16,"side like the faces on a bad coinage."
"412",16,""
"413",16,"""If only I had not accepted that invitation to dine at 27,"" Mrs. Darling"
"414",16,"said."
"415",16,""
"416",16,"""If only I had not poured my medicine into Nana's bowl,"" said Mr."
"417",16,"Darling."
"418",16,""
"419",16,"""If only I had pretended to like the medicine,"" was what Nana's wet eyes"
"420",16,"said."
"421",16,""
"422",16,"""My liking for parties, George."""
"423",16,""
"424",16,"""My fatal gift of humour, dearest."""
"425",16,""
"426",16,"""My touchiness about trifles, dear master and mistress."""
"427",16,""
"428",16,"Then one or more of them would break down altogether; Nana at the"
"429",16,"thought, ""It's true, it's true, they ought not to have had a dog for"
"430",16,"a nurse."" Many a time it was Mr. Darling who put the handkerchief to"
"431",16,"Nana's eyes."
"432",16,""
"433",16,"""That fiend!"" Mr. Darling would cry, and Nana's bark was the echo of"
"434",16,"it, but Mrs. Darling never upbraided Peter; there was something in the"
"435",16,"right-hand corner of her mouth that wanted her not to call Peter names."
"436",16,""
"437",16,"They would sit there in the empty nursery, recalling fondly every"
"438",16,"smallest detail of that dreadful evening. It had begun so uneventfully,"
"439",16,"so precisely like a hundred other evenings, with Nana putting on the"
"440",16,"water for Michael's bath and carrying him to it on her back."
"441",16,""
"442",16,"""I won't go to bed,"" he had shouted, like one who still believed that he"
"443",16,"had the last word on the subject, ""I won't, I won't. Nana, it isn't six"
"444",16,"o'clock yet. Oh dear, oh dear, I shan't love you any more, Nana. I tell"
"445",16,"you I won't be bathed, I won't, I won't!"""
"446",16,""
"447",16,"Then Mrs. Darling had come in, wearing her white evening-gown. She had"
"448",16,"dressed early because Wendy so loved to see her in her evening-gown,"
"449",16,"with the necklace George had given her. She was wearing Wendy's bracelet"
"450",16,"on her arm; she had asked for the loan of it. Wendy loved to lend her"
"451",16,"bracelet to her mother."
"452",16,""
"453",16,"She had found her two older children playing at being herself and father"
"454",16,"on the occasion of Wendy's birth, and John was saying:"
"455",16,""
"456",16,"""I am happy to inform you, Mrs. Darling, that you are now a mother,"""
"457",16,"in just such a tone as Mr. Darling himself may have used on the real"
"458",16,"occasion."
"459",16,""
"460",16,"Wendy had danced with joy, just as the real Mrs. Darling must have done."
"461",16,""
"462",16,"Then John was born, with the extra pomp that he conceived due to the"
"463",16,"birth of a male, and Michael came from his bath to ask to be born also,"
"464",16,"but John said brutally that they did not want any more."
"465",16,""
"466",16,"Michael had nearly cried. ""Nobody wants me,"" he said, and of course the"
"467",16,"lady in the evening-dress could not stand that."
"468",16,""
"469",16,"""I do,"" she said, ""I so want a third child."""
"470",16,""
"471",16,"""Boy or girl?"" asked Michael, not too hopefully."
"472",16,""
"473",16,"""Boy."""
"474",16,""
"475",16,"Then he had leapt into her arms. Such a little thing for Mr. and Mrs."
"476",16,"Darling and Nana to recall now, but not so little if that was to be"
"477",16,"Michael's last night in the nursery."
"478",16,""
"479",16,"They go on with their recollections."
"480",16,""
"481",16,"""It was then that I rushed in like a tornado, wasn't it?"" Mr. Darling"
"482",16,"would say, scorning himself; and indeed he had been like a tornado."
"483",16,""
"484",16,"Perhaps there was some excuse for him. He, too, had been dressing for"
"485",16,"the party, and all had gone well with him until he came to his tie. It"
"486",16,"is an astounding thing to have to tell, but this man, though he knew"
"487",16,"about stocks and shares, had no real mastery of his tie. Sometimes the"
"488",16,"thing yielded to him without a contest, but there were occasions when it"
"489",16,"would have been better for the house if he had swallowed his pride and"
"490",16,"used a made-up tie."
"491",16,""
"492",16,"This was such an occasion. He came rushing into the nursery with the"
"493",16,"crumpled little brute of a tie in his hand."
"494",16,""
"495",16,"""Why, what is the matter, father dear?"""
"496",16,""
"497",16,"""Matter!"" he yelled; he really yelled. ""This tie, it will not tie."" He"
"498",16,"became dangerously sarcastic. ""Not round my neck! Round the bed-post!"
"499",16,"Oh yes, twenty times have I made it up round the bed-post, but round my"
"500",16,"neck, no! Oh dear no! begs to be excused!"""
"501",16,""
"502",16,"He thought Mrs. Darling was not sufficiently impressed, and he went on"
